广东频道,#genre#
CCTV-10,http://183.185.222.245:8085/rtp/226.0.2.27:8128$720x576
CCTV-10,http://124.64.189.63:8888/rtp/239.3.1.63:8116
CCTV-10,http://123.113.34.218:4022/rtp/239.3.1.63:8116
CCTV-10,http://111.167.226.190:4022/rtp/225.1.1.140:5002
CCTV-10,http://116.226.74.224:18888/rtp/239.45.3.8:5140
CCTV-11,http://sweetown.fun:4000/rtp/239.3.1.152:8120$1920x1080
CCTV-11,http://111.165.222.109:8000/rtp/225.1.2.192:5002$1920x1080
CCTV-11,http://183.191.208.95:8085/rtp/226.0.2.28:8136$720x576
CCTV-11,http://124.64.189.63:8888/rtp/239.3.1.152:8120
CCTV-11,http://123.113.34.218:4022/rtp/239.3.1.152:8120
CCTV-11,http://111.167.226.190:4022/rtp/225.1.2.192:5002
CCTV-11,http://116.226.74.224:18888/rtp/239.45.1.196:5140
CCTV-11,http://180.111.100.226:8800/rtp/239.49.1.11:6000
CCTV-12,http://123.113.236.69:8012/rtp/239.3.1.64:8124$1920x1080
CCTV-12,http://sweetown.fun:4000/rtp/239.3.1.64:8124$1920x1080
CCTV-12,http://171.120.20.181:8004/rtp/226.0.2.29:8144$720x576
CCTV-12,http://124.64.189.63:8888/rtp/239.3.1.64:8124
CCTV-12,http://123.113.34.218:4022/rtp/239.3.1.64:8124
CCTV-12,http://111.167.226.190:4022/rtp/225.1.1.142:5002
CCTV-12,http://116.226.74.224:18888/rtp/239.45.3.10:5140
CCTV-12,http://180.111.100.226:8800/rtp/239.49.8.135:6000
CCTV-13,http://sweetown.fun:4000/rtp/239.3.1.124:8128$1920x1080
CCTV-13,http://171.120.20.181:8004/rtp/226.0.2.30:8152$720x576
CCTV-13,http://124.64.189.63:8888/rtp/239.3.1.124:8128
CCTV-13,http://123.113.34.218:4022/rtp/239.3.1.124:8128
CCTV-13,http://111.167.226.190:4022/rtp/225.1.2.193:5002
CCTV-13,http://116.226.74.224:18888/rtp/239.45.1.198:5140
CCTV-13,http://180.111.100.226:8800/rtp/239.49.9.43:6000
CCTV-13,http://180.111.100.226:8800/rtp/239.49.1.13:6000
CCTV-14,http://183.185.222.245:8085/rtp/226.0.2.166:9240$1920x1080
CCTV-14,http://223.215.3.236:2000/rtp/238.1.78.243:7816$1920x1080
CCTV-14,http://sweetown.fun:4000/rtp/239.3.1.65:8132$1920x1080
CCTV-14,http://171.120.20.181:8004/rtp/226.0.2.31:8160$720x576
CCTV-14,http://124.64.189.63:8888/rtp/239.3.1.65:8132
CCTV-14,http://123.113.34.218:4022/rtp/239.3.1.65:8132
CCTV-14,http://111.167.226.190:4022/rtp/225.1.1.144:5002
CCTV-14,http://116.226.74.224:18888/rtp/239.45.3.23:5140
CCTV-15,http://111.165.222.109:8000/rtp/225.1.2.194:5002$1920x1080
CCTV-15,http://sweetown.fun:4000/rtp/239.3.1.153:8136$1920x1080
CCTV-15,http://171.120.20.181:8004/rtp/226.0.2.32:8168$720x576
CCTV-15,http://124.64.189.63:8888/rtp/239.3.1.153:8136
CCTV-15,http://123.113.34.218:4022/rtp/239.3.1.153:8136
CCTV-15,http://111.167.226.190:4022/rtp/225.1.2.194:5002
CCTV-15,http://116.226.74.224:18888/rtp/239.45.1.200:5140
CCTV-15,http://180.111.100.226:8800/rtp/239.49.1.15:6000
CCTV-16,http://111.165.222.109:8000/rtp/225.1.2.237:5002$1920x1080
CCTV-16,http://117.32.85.224:8014/rtp/239.111.205.134:5140$1920x1080
CCTV-16,http://sweetown.fun:4000/rtp/239.3.1.184:8001$1920x1080
CCTV-16,http://183.191.208.95:8085/rtp/226.0.2.169:9264$1920x1080
CCTV-16,http://61.134.200.90:8085/rtp/226.0.2.169:9264$1920x1080
CCTV-16,http://124.64.189.63:8888/rtp/239.3.1.183:8001
CCTV-16,http://123.113.34.218:4022/rtp/239.3.1.183:8001
CCTV-16,http://124.64.189.63:8888/rtp/239.3.1.184:8001
CCTV-17,http://sweetown.fun:4000/rtp/239.3.1.151:8144$1920x1080
CCTV-17,http://117.32.85.224:8014/rtp/239.112.205.211:5140$1920x1080
CCTV-17,http://171.120.20.181:8004/rtp/226.0.2.207:9568$720x576
CCTV-17,http://124.64.189.63:8888/rtp/239.3.1.151:8144
CCTV-17,http://123.113.34.218:4022/rtp/239.3.1.151:8144
CCTV-17,http://111.167.226.190:4022/rtp/225.1.2.52:5002
CCTV-17,http://180.111.100.226:8800/rtp/239.49.1.7:6000
CCTV-17,http://114.254.189.28:9999/rtp/239.3.1.151:8144
卫视频道,#genre#
广东卫视,http://111.165.222.109:8000/rtp/225.1.1.116:5002$1920x1080
广东卫视,http://sweetown.fun:4000/rtp/239.3.1.142:8048$1920x1080
广东卫视,http://118.81.48.104:8082/rtp/226.0.2.45:8272$720x576
广东卫视,http://124.64.189.63:8888/rtp/239.3.1.142:8048
广东卫视,http://123.113.34.218:4022/rtp/239.3.1.142:8048
广东卫视,http://111.167.226.190:4022/rtp/225.1.1.116:5002
广东卫视,http://116.226.74.224:18888/rtp/239.45.3.230:5140
广东卫视,http://180.111.100.226:8800/rtp/239.49.1.39:6000
浙江卫视,http://111.165.222.109:8000/rtp/225.1.1.112:5002$1920x1080
浙江卫视,http://sweetown.fun:4000/rtp/239.3.1.137:8036$1920x1080
浙江卫视,http://124.64.189.63:8888/rtp/239.3.1.137:8036
浙江卫视,http://123.113.34.218:4022/rtp/239.3.1.137:8036
浙江卫视,http://111.167.226.190:4022/rtp/225.1.1.112:5002
浙江卫视,http://116.226.74.224:18888/rtp/239.45.3.178:5140
浙江卫视,http://180.111.100.226:8800/rtp/239.49.1.34:6000
浙江卫视,http://180.111.100.226:8800/rtp/239.49.8.139:6000
湖南卫视,http://111.165.222.109:8000/rtp/225.1.1.114:5002$1920x1080
湖南卫视,http://sweetown.fun:4000/rtp/239.3.1.132:8012$1920x1080
湖南卫视,http://183.185.222.245:8085/rtp/226.0.2.33:8176$720x576
湖南卫视,http://171.120.20.181:8004/rtp/226.0.2.33:8176$720x576
湖南卫视,http://124.64.189.63:8888/rtp/239.3.1.132:8012
湖南卫视,http://123.113.34.218:4022/rtp/239.3.1.132:8012
湖南卫视,http://111.167.226.190:4022/rtp/225.1.1.114:5002
湖南卫视,http://116.226.74.224:18888/rtp/239.45.3.228:5140
北京卫视,http://111.165.222.109:8000/rtp/225.1.1.113:5002$1920x1080
北京卫视,http://183.191.208.95:8085/rtp/226.0.2.39:8224$720x576
北京卫视,http://111.167.226.190:4022/rtp/225.1.1.113:5002
北京卫视,http://116.226.74.224:18888/rtp/239.45.3.229:5140
北京卫视,http://180.111.100.226:8800/rtp/239.49.1.33:6000
北京卫视,http://180.111.100.226:8800/rtp/239.49.8.141:6000
北京卫视,http://180.115.133.252:1024/rtp/239.49.1.33:6000
北京卫视,http://180.115.133.252:1024/rtp/239.49.8.141:6000
